1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
41;Crunchy Peanut Butter;roasted peanuts 97%, sustainable palm oil, sea salt.;peanuts;https://world.openfoodfacts.org/product/5013665108801
42;Crunchy Peanut Butter;Roasted Peanuts (100%).;peanuts;https://world.openfoodfacts.org/product/5014213711290
43;Crunchy Peanut Butter;Peanuts (99.6%), Sea Salt.;peanuts;https://world.openfoodfacts.org/product/5060367181311
44;Smooth Peanut butter;roasted peanuts (96%), sustainable palm oil, sea salt.;peanuts;https://world.openfoodfacts.org/product/5013665109389
45;Smooth Peanut Butter;Roasted Peanuts (100%).;peanuts;https://world.openfoodfacts.org/product/5014213711306
46;Crunchy peanut butter;Peanuts 99.5%, Sea Salt.;peanuts;https://world.openfoodfacts.org/product/5060367180758
47;Crunchy Organic Peanut Butter;roasted organic peanuts (95%), organic sustainable palm oil, sea salt.;peanuts;https://world.openfoodfacts.org/product/5013665108320
48;Smooth Organic Peanut Butter;roasted organic peanuts (91%), organic sustainable palm oil, sea salt.;peanuts;https://world.openfoodfacts.org/product/5013665108344
49;Peanut Butter Oat Bars;Gluten Free Oats (41%), Rice Syrup, Peanuts (15%), Coconut Oil, Coconut Sugar, Date Syrup, Peanut Butter (4%), Rapeseed Oil, Salt.;peanuts;https://world.openfoodfacts.org/product/5060482840766
50;Crunchy Peanut Butter;roasted peanuts (97%), sustainable palm oil, sea salt;peanuts;https://world.openfoodfacts.org/product/5013665113133
51;Protein Peanut Butter Bars;Dates (39%), peanuts (30%), peanut butter (10%), peanut flour (10%), chicory fibre (10%), sea salt, natural flavouring.;peanuts;https://world.openfoodfacts.org/product/5060088700099
52;Barre cereales Proteines peanut chocolat;roasted peanuts (39%), oligofructose, soy protein isolate, chocolate chunks (8%) (sugar, cocoa mass, cocoa butter, emulsifier (soy lecithin)), vegetable oils and fats (palm, rapeseed, sunflower in varying proportions), sugar, milk protein, fructose, glucose syrup, peanut butter (2%), low-fat cocoa powder, humectant (glycerol), tapioca starch, emulsifiers (lecithins (contains soy), table salt, natural flavours (contains milk), maltodextrin, antioxidant (extract rich in tocopherols),;milk, peanuts, soybeans;https://world.openfoodfacts.org/product/8410076901026
53;Peanut Butter;85% roasted peanuts , sunflower oil, fully hardened palm fat, table salt,;peanuts;https://world.openfoodfacts.org/product/20474478
54;Original Salted Peanuts;peanuts, sunflower oil, salt;peanuts;https://world.openfoodfacts.org/product/5000237127261
55;Crunchy Peanut Butter;Roasted peanuts (whole skin on) 100%;peanuts;https://world.openfoodfacts.org/product/5014213001049
56;Peanut Delight;Dates (53%), Peanuts (46%), Sea salt, Natural flavouring.;peanuts;https://world.openfoodfacts.org/product/5060088705230
57;Peanut butter smooth sante;Roasted peanuts 90%, sugar, sunflower oil, fully hydrogenated rapeseed oil, rapeseed oil, salt.;peanuts;https://world.openfoodfacts.org/product/5900617012197
58;Peanut Butter;Roasted Peanuts (96%), Sustainable Palm Oil, Sea Salt;peanuts;https://world.openfoodfacts.org/product/5013665113157
59;Peanuts roasted unsalted;roasted peanuts, ingredients peanut kernels, sunflower oil, may contain nuts vestyglos,;peanuts;https://world.openfoodfacts.org/product/20615420
